oil_name;oil_location;oil_density;oil_api;oil_temp;oil_visc;oil_res_dens;oil_res_perc;oil_vap_press
Selmo;Turkey;0.857;33.70;38.00;00007.80;0.906;58.84;0.371
Sepinggam;Indonesia;0.835;37.90;38.00;00002.20;0.906;40.58;0.241
Seria light;Brunei;0.831;38.80;38.00;00001.80;0.951;47.93;0.415
Sirip blend 27.1API;Iran;0.892;27.10;38.00;00020.40;0.935;64.49;0.549
Sirri;Iran;0.871;30.90;38.00;00007.40;0.922;57.60;0.650
Soroosh;Iran;0.946;18.10;20.00;00013.81;0.972;78.64;0.020
Souedie;Syria;0.905;24.90;10.00;00088.30;0.939;71.46;0.294
South Louisiana;USA;0.840;37.00;38.00;00004.30;0.893;55.84;0.400
Southwest Texas light;USA;0.821;41.00;38.00;00001.40;0.897;36.76;0.434
Soyo blend;Angola;0.857;33.70;38.00;00010.00;0.926;44.14;0.371
Statfjord;UK & Norway;0.834;38.20;38.00;00004.40;0.893;54.48;0.374
Sylvestre;Venezuela;0.885;28.40;38.00;00014.10;0.928;64.16;0.366
Taching;China;0.860;33.00;38.00;00029.00;0.883;80.52;0.365
Tarakan;Indonesia;0.946;18.10;38.00;00026.20;0.975;75.54;0.235
Tartan;UK (North Sea);0.818;41.70;04.40;00011.60;0.883;45.92;0.694
Tembungo;Malaysia;0.838;37.40;38.00;00002.00;0.910;39.86;0.193
Texas Gulf Coast heavy;USA;0.890;27.00;38.00;00011.00;0.928;68.29;0.313
Texas Gulf Coast light;USA;0.850;35.00;38.00;00004.50;0.905;53.78;0.382
Thistle;UK (North Sea);0.840;37.00;38.00;00004.30;0.887;60.66;0.517
Tia Juana;Venezuela;0.894;26.70;38.00;00026.00;0.930;69.67;0.310
Tia Juana heavy;Venezuela;0.985;12.10;50.00;00003.00;0.998;90.12;0.183
Tia Juana light;Venezuela;0.865;32.10;38.00;00010.40;0.913;60.05;0.357
Tobias;Angola;0.877;29.90;38.00;00011.00;0.920;64.35;0.338
Trinidad blend;Trinidad;0.857;33.60;20.00;00003.70;0.904;60.90;0.370
Tyumen;Russia;0.855;34.00;50.00;00003.40;0.975;56.13;0.412
Umm Shaif;Abu Dhabi;0.838;37.40;38.00;00003.80;0.896;52.03;0.485
Wainwright Kinsella;Alberta Canada;0.915;23.10;38.00;00032.50;0.951;69.92;0.303
Walio Export mix;Indonesia;0.848;35.40;38.00;00004.90;0.906;51.53;0.166
West General Texas;USA;0.825;40.00;38.00;00001.40;0.886;48.79;0.426
West Sak;Alaska USA;0.919;22.40;15.00;00095.50;0.956;69.52;0.184
West Texas Ellenburger;USA;0.790;47.60;38.00;00001.80;0.858;43.72;0.492
West Texas light;USA;0.820;42.00;38.00;00003.30;0.878;51.78;0.443
West Texas sour;USA;0.855;34.00;38.00;00005.80;0.913;51.38;0.374
Wyoming sour;USA;0.905;24.90;38.00;00023.00;0.948;64.58;0.294
Wyoming sour (International);USA;0.850;35.00;15.00;00006.80;0.917;44.40;0.382
Zaire;Zaire;0.867;31.70;38.00;00021.00;0.902;71.11;0.150
Zakum;Abu Dhabi;0.825;40.10;38.00;00002.80;0.911;47.72;0.427
Zakum (lower-);Abu Dhabi;0.822;40.60;20.00;00004.28;0.942;44.86;0.576
Zarzaitine;Algeria;0.811;43.00;00.00;00001.37;0.879;43.05;0.584
Zuetina;Libya;0.819;41.30;15.00;00042.90;0.882;47.55;0.3130
